"row ID","TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specifity","F-measure","Accuracy","Cohen's kappa"
"0",4997,5007,0,0,1.0,0.499500199920032,1.0,0.0,0.6662222518498767,,
"1",0,0,5764,4240,0.0,,0.0,1.0,,,
"2",0,0,9522,482,0.0,,0.0,1.0,,,
"3",0,0,9799,205,0.0,,0.0,1.0,,,
"4",0,0,9967,37,0.0,,0.0,1.0,,,
"5",0,0,9982,22,0.0,,0.0,1.0,,,
"6",0,0,9990,14,0.0,,0.0,1.0,,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"9",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.499500199920032,0.0
"0",4997,5007,0,0,1.0,0.499500199920032,1.0,0.0,0.6662222518498767,,
"1",0,0,5764,4240,0.0,,0.0,1.0,,,
"2",0,0,9522,482,0.0,,0.0,1.0,,,
"3",0,0,9799,205,0.0,,0.0,1.0,,,
"4",0,0,9967,37,0.0,,0.0,1.0,,,
"5",0,0,9982,22,0.0,,0.0,1.0,,,
"6",0,0,9990,14,0.0,,0.0,1.0,,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"9",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.499500199920032,0.0
"0",4997,5007,0,0,1.0,0.499500199920032,1.0,0.0,0.6662222518498767,,
"1",0,0,5764,4240,0.0,,0.0,1.0,,,
"2",0,0,9522,482,0.0,,0.0,1.0,,,
"3",0,0,9799,205,0.0,,0.0,1.0,,,
"4",0,0,9967,37,0.0,,0.0,1.0,,,
"5",0,0,9982,22,0.0,,0.0,1.0,,,
"6",0,0,9990,14,0.0,,0.0,1.0,,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"9",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.499500199920032,0.0
"0",4997,5007,0,0,1.0,0.499500199920032,1.0,0.0,0.6662222518498767,,
"1",0,0,5764,4240,0.0,,0.0,1.0,,,
"2",0,0,9522,482,0.0,,0.0,1.0,,,
"3",0,0,9799,205,0.0,,0.0,1.0,,,
"4",0,0,9967,37,0.0,,0.0,1.0,,,
"5",0,0,9982,22,0.0,,0.0,1.0,,,
"6",0,0,9990,14,0.0,,0.0,1.0,,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"9",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.499500199920032,0.0
"0",4997,5007,0,0,1.0,0.499500199920032,1.0,0.0,0.6662222518498767,,
"1",0,0,5764,4240,0.0,,0.0,1.0,,,
"2",0,0,9522,482,0.0,,0.0,1.0,,,
"3",0,0,9799,205,0.0,,0.0,1.0,,,
"4",0,0,9967,37,0.0,,0.0,1.0,,,
"5",0,0,9982,22,0.0,,0.0,1.0,,,
"6",0,0,9990,14,0.0,,0.0,1.0,,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"9",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.499500199920032,0.0
"0",4997,5007,0,0,1.0,0.499500199920032,1.0,0.0,0.6662222518498767,,
"1",0,0,5764,4240,0.0,,0.0,1.0,,,
"2",0,0,9522,482,0.0,,0.0,1.0,,,
"3",0,0,9799,205,0.0,,0.0,1.0,,,
"4",0,0,9967,37,0.0,,0.0,1.0,,,
"5",0,0,9982,22,0.0,,0.0,1.0,,,
"6",0,0,9990,14,0.0,,0.0,1.0,,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"9",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.499500199920032,0.0
"0",4997,5007,0,0,1.0,0.499500199920032,1.0,0.0,0.6662222518498767,,
"1",0,0,5764,4240,0.0,,0.0,1.0,,,
"2",0,0,9522,482,0.0,,0.0,1.0,,,
"3",0,0,9799,205,0.0,,0.0,1.0,,,
"4",0,0,9967,37,0.0,,0.0,1.0,,,
"5",0,0,9982,22,0.0,,0.0,1.0,,,
"6",0,0,9990,14,0.0,,0.0,1.0,,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"9",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.499500199920032,0.0
"0",4997,5007,0,0,1.0,0.499500199920032,1.0,0.0,0.6662222518498767,,
"1",0,0,5764,4240,0.0,,0.0,1.0,,,
"2",0,0,9522,482,0.0,,0.0,1.0,,,
"3",0,0,9799,205,0.0,,0.0,1.0,,,
"4",0,0,9967,37,0.0,,0.0,1.0,,,
"5",0,0,9982,22,0.0,,0.0,1.0,,,
"6",0,0,9990,14,0.0,,0.0,1.0,,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"9",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.499500199920032,0.0
"0",4997,5007,0,0,1.0,0.499500199920032,1.0,0.0,0.6662222518498767,,
"1",0,0,5764,4240,0.0,,0.0,1.0,,,
"2",0,0,9522,482,0.0,,0.0,1.0,,,
"3",0,0,9799,205,0.0,,0.0,1.0,,,
"4",0,0,9967,37,0.0,,0.0,1.0,,,
"5",0,0,9982,22,0.0,,0.0,1.0,,,
"6",0,0,9990,14,0.0,,0.0,1.0,,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"9",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.499500199920032,0.0
"0",4997,5007,0,0,1.0,0.499500199920032,1.0,0.0,0.6662222518498767,,
"1",0,0,5764,4240,0.0,,0.0,1.0,,,
"2",0,0,9522,482,0.0,,0.0,1.0,,,
"3",0,0,9799,205,0.0,,0.0,1.0,,,
"4",0,0,9967,37,0.0,,0.0,1.0,,,
"5",0,0,9982,22,0.0,,0.0,1.0,,,
"6",0,0,9990,14,0.0,,0.0,1.0,,,
"7",0,0,10001,3,0.0,,0.0,1.0,,,
"8",0,0,10002,2,0.0,,0.0,1.0,,,
"9",0,0,10002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.499500199920032,0.0
